step	train_stu/train_loss_5
1	0.3374539017677307
2	0.2989291747411092
3	0.2612224817276001
4	0.22811259826024374
5	0.19962094724178314
6	0.1750955730676651
7	0.15390494962533316
8	0.1354802300532659
9	0.11956973373889923
10	0.10568497826655705
11	0.09374010314544041
12	0.08352128167947133
13	0.07458977401256561
14	0.06690697868665059
15	0.0602861096461614
16	0.05442293733358383
17	0.04936249554157257
18	0.044933157662550606
19	0.04103284701704979
20	0.03771149987975756
21	0.03479605043927828
22	0.0321764312684536
23	0.030086961885293324
24	0.027888371298710506
25	0.02615945227444172
26	0.024635350331664085
27	0.023268134022752445
28	0.021972399204969406
29	0.02074836939573288
30	0.019800769165158272
31	0.018954116851091385
32	0.018144559115171432
33	0.017519808063904446
34	0.01687150013943513
35	0.0162851233035326
36	0.016036503637830418
37	0.015219499667485556
38	0.014968744479119778
39	0.014688505170245966
40	0.014578913648923239
41	0.014096963529785475
42	0.014056107960641384
43	0.013614058184127012
44	0.013780168878535429
45	0.01321877290805181
46	0.013215952242414156
47	0.012987100208799044
48	0.01279764777670304
49	0.012901338438193003
50	0.01300490771730741
