step	train_stu/train_loss_2
1	0.3845336979085749
2	0.3465021388097243
3	0.3065994634772792
4	0.2698495080976775
5	0.2379564606782162
6	0.21040140679388336
7	0.18650617879448514
8	0.16571070976329572
9	0.1476274584278916
10	0.13189402403253497
11	0.11820110588362723
12	0.1062893910389958
13	0.0959188746231975
14	0.08687395105759303
15	0.07896477909702243
16	0.07205384473005931
17	0.0659850991585038
18	0.060645955755855095
19	0.055931006304242394
20	0.05173628382159002
21	0.048035735659527054
22	0.044727757798902916
23	0.04176522091482625
24	0.03910990635102445
25	0.03672218503374042
26	0.034566153405290664
27	0.032619612686561814
28	0.03084768738710519
29	0.029231986821149334
30	0.027771699439847107
31	0.026410188243696182
32	0.025201072069731625
33	0.024058048585147568
34	0.02301018972965804
35	0.02205419173520623
36	0.021165616866765602
37	0.020355138645479172
38	0.019597970683014755
39	0.01888200697122198
40	0.018244698756571972
41	0.01761565792063872
42	0.01706676868100961
43	0.016513920953553734
44	0.01602308353352727
45	0.015560173401326843
46	0.015132479059199492
47	0.014722589629166054
48	0.01435549526164929
49	0.013976379523448872
50	0.013653872957961126
