step	train_tch_5/train_loss
1	0.5746524731318156
2	0.4462376932303111
3	0.408575177192688
4	0.3701113760471344
5	0.33438771963119507
6	0.30210362871487934
7	0.27272507548332214
8	0.24579166869322458
9	0.22158550222714743
10	0.20013455549875894
11	0.18100695312023163
12	0.16448151071866354
13	0.1498660445213318
14	0.13681988914807638
15	0.12573040028413138
16	0.11602325489123662
17	0.10713014006614685
18	0.09973113983869553
19	0.09291644394397736
20	0.08709483842055003
21	0.08180479208628337
22	0.07732676217953365
23	0.07293111582597096
24	0.06940370053052902
25	0.0658913974960645
26	0.06287448232372601
27	0.06013369311889013
28	0.057802279790242515
29	0.05547432228922844
30	0.053159281611442566
31	0.051145809392134346
32	0.05015957107146581
33	0.04809721683462461
34	0.046746945629517235
35	0.0451744943857193
36	0.04393945882717768
37	0.04293265317877134
38	0.04217034081617991
39	0.040769911060730614
40	0.03928049157063166
41	0.03886019935210546
42	0.03809898098309835
43	0.03676551083723704
44	0.03651383270819982
45	0.03558336074153582
46	0.0350644513964653
47	0.034523302068312965
48	0.03365613023440043
49	0.03285697475075722
50	0.032247417916854225
