step	train_tch_3/train_loss
1	0.6134128570556641
2	0.45920007427533466
3	0.4225510557492574
4	0.38461246093114215
5	0.34776880343755084
6	0.31454355518023175
7	0.2845556437969208
8	0.25723546246687573
9	0.2324624458948771
10	0.2101248800754547
11	0.19024163981278738
12	0.17269436518351236
13	0.15733440220355988
14	0.1436430662870407
15	0.13180729250113168
16	0.12131207933028539
17	0.11198053508996964
18	0.10381832718849182
19	0.09664814174175262
20	0.09019515911738078
21	0.08445684363444646
22	0.07951917747656505
23	0.07497454682985942
24	0.07095641642808914
25	0.06737814595301946
26	0.06407278031110764
27	0.06098681564132372
28	0.058359468976656594
29	0.05585034812490145
30	0.053589911510547004
31	0.05161749695738157
32	0.04966764027873675
33	0.04792905474702517
34	0.046278381099303566
35	0.04479519774516424
36	0.04341102639834086
37	0.04197388763229052
38	0.040950678288936615
39	0.03969018533825874
40	0.03863059605161349
41	0.0376628153026104
42	0.0367761068046093
43	0.035906353344519935
44	0.034985789408286415
45	0.034196543196837105
46	0.03347072129448255
47	0.032816323141256966
48	0.03201556826631228
49	0.031457855055729546
50	0.030794572085142136
